"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"W14","0603_3WAY_JUMPER","3875mil","567.047mil","3875mil","570mil","3875mil","635.945mil","B","90.00","ALRM_IN / GND"
"W13","0603_3WAY_JUMPER","3542mil","1827.047mil","3542mil","1830mil","3542mil","1895.945mil","B","90.00","TX-/ALARM_OUT"
"W12","0603_3WAY_JUMPER","4151mil","1831.047mil","4151mil","1834mil","4151mil","1899.945mil","B","90.00","TX+/ALRM_IN"
"W7","0603_3WAY_JUMPER","3770mil","570mil","3770mil","604.449mil","3770mil","638.898mil","B","270.00","ALARM_OUT/SDA"
"W11","0603_3WAY_JUMPER","3370mil","569.449mil","3370mil","603.898mil","3370mil","638.346mil","B","270.00","B-/VCC5V"
"W10","0603_3WAY_JUMPER","3465mil","569.449mil","3465mil","603.898mil","3465mil","638.346mil","B","270.00","B+/U0RX"
"W9","0603_3WAY_JUMPER","3565mil","569.449mil","3565mil","603.898mil","3565mil","638.346mil","B","270.00","A-/U0TX"
"W8","0603_3WAY_JUMPER","3665mil","569.449mil","3665mil","603.898mil","3665mil","638.346mil","B","270.00","A+/SCL"
"J8","Euroblock_3.5pitch_6P","3608.307mil","274.449mil","3952.795mil","274.449mil","3952.795mil","274.449mil","T","180.00","PB audio IN/Extension"
"R19","0805_RES","3630mil","1978.78mil","3630mil","1978.78mil","3630mil","1943.347mil","B","90.00","RES"
"U5","NSO14_N","3883.622mil","2293.268mil","3883.622mil","2293.268mil","3789.134mil","2143.268mil","B","360.00","MAX491ESD"
"R20","0805_RES","4055mil","1804.213mil","4055mil","1804.213mil","4055mil","1768.78mil","B","90.00","RES"
"W1","Jumper","3685mil","1794.213mil","3685mil","1794.213mil","3735mil","1794.213mil","T","180.00","Jumper"
"W2","Jumper","3910mil","1794.213mil","3910mil","1794.213mil","3960mil","1794.213mil","T","180.00","Jumper"
"J6","JACK1.27-2H8B","3885mil","2109.213mil","3885mil","2594.449mil","4060mil","2034.213mil","T","180.00","RJ45-PanBeam"
"R22","0805_RES","3155mil","994.449mil","3155mil","994.449mil","3155mil","1029.882mil","B","270.00","RES"
"C28","0805_CAP","2770mil","534.882mil","2770mil","534.882mil","2770mil","570.315mil","B","270.00","CAP"
"C29","0805_CAP","2734.567mil","714.449mil","2734.567mil","714.449mil","2699.134mil","714.449mil","B","360.00","CAP"
"C30","0805_CAP","2660mil","534.016mil","2660mil","534.016mil","2660mil","569.449mil","B","270.00","CAP"
"C31","0805_CAP","2580.433mil","714.449mil","2580.433mil","714.449mil","2615.866mil","714.449mil","B","180.00","CAP"
"C32","0805_CAP","2535mil","534.882mil","2535mil","534.882mil","2535mil","570.315mil","B","270.00","CAP"
"U7","NSO16_M","2610mil","604.449mil","2610mil","604.449mil","2785mil","700.905mil","T","270.00","MAX3232CSE"
"J3","microSD","3196.024mil","1779.173mil","3135mil","1656.142mil","3135mil","1656.142mil","T","90.00","MicroSD"
"P2","HDR1X7","3670mil","414.449mil","3970mil","414.449mil","3970mil","414.449mil","T","180.00","Extension"
"R3","0805_RES","2114.567mil","379.449mil","2114.567mil","379.449mil","2079.134mil","379.449mil","B","360.00","RES"
"R4","0805_RES","2114.567mil","459.449mil","2114.567mil","459.449mil","2079.134mil","459.449mil","B","360.00","RES"
"W6","JUMPER","2655mil","1809.449mil","2655mil","1809.449mil","2705mil","1809.449mil","T","180.00","Jumper"
"W5","JUMPER","2435mil","1809.449mil","2435mil","1809.449mil","2485mil","1809.449mil","T","180.00","Jumper"
"W3","JUMPER","1630mil","2094.449mil","1630mil","2094.449mil","1630mil","2144.449mil","T","270.00","Jumper"
"W4","JUMPER","1590mil","1914.449mil","1590mil","1914.449mil","1640mil","1914.449mil","T","180.00","Jumper"
"R14","0805_RES","1265mil","839.882mil","1265mil","839.882mil","1265mil","804.449mil","B","90.00","RES"
"X2","CRYSTAL_LOW","1465mil","739.449mil","1465mil","739.449mil","1465mil","835.512mil","T","270.00","CRYSTAL"
"X1","CRYSTAL_LOW","1845mil","1629.449mil","1845mil","1629.449mil","1748.937mil","1629.449mil","T","0.00","CRYSTAL"
"U9","NSO16_M","3075mil","603.583mil","3075mil","603.583mil","3250mil","700.039mil","T","270.00","MAX3232CSE"
"U3","SOIC127P1030X265-18N","1110mil","1933.504mil","1110mil","1933.504mil","1310mil","1742.559mil","B","90.00","ULN2803A"
"U2","QFP50P1600X1600X160-100N","1925mil","1039.449mil","1925mil","1039.449mil","2161.22mil","1342.598mil","T","270.00","LM3S6911-IQC"
"U8","SOIC127P1030X265-18N","3065mil","1964.449mil","3065mil","1964.449mil","3265mil","1773.504mil","B","90.00","ULN2803A"
"U1","TO-263-5L","525.197mil","394.449mil","475mil","394.449mil","721.063mil","528.307mil","B","180.00","TS2576"
"S1","SPST-2","3445mil","909.449mil","3445mil","909.449mil","3572.953mil","909.449mil","T","180.00","SW-PB"
