"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"Jack","STEREO_JACK","2852.795mil","-951.929mil","2852.795mil","-1050.354mil","2852.795mil","-1050.354mil","T","90.00","Stereo_Jack"
"DC con","FP_DC_TAP_ANYA","2302.795mil","-745.354mil","2202.795mil","-620.354mil","2202.795mil","-620.354mil","T","180.00","2.xmm"
"XLR_OUT","NEUTRIK_NC3MAH","1299.213mil","-637.992mil","1299.213mil","-1062.992mil","1149.213mil","-362.992mil","T","360.00","NEUTRIK_NC3MAH"
"XLR_IN","NEUTRIK_NC3FAH1","275.591mil","-650.394mil","275.591mil","-1062.992mil","425.591mil","-912.992mil","T","360.00","NEUTRIK_NC3FAH1"
"K2","Relay_Song_Chuan","1181.102mil","0mil","1181.102mil","0mil","981.102mil","-100mil","T","90.00","Relay_Song Chuan"
"K1","Relay_Song_Chuan","1751.968mil","0mil","1751.968mil","0mil","1551.968mil","-100mil","T","90.00","Relay_Song Chuan"
"LED1","Osram_sideled","2502.795mil","-1080.354mil","2502.795mil","-1080.354mil","2552.795mil","-1080.354mil","T","360.00","LED_RED"
"LED2","Osram_sideled","1912.795mil","-1080.354mil","1912.795mil","-1080.354mil","1962.795mil","-1080.354mil","T","360.00","LED_RED"
"C1","FP_0603_CAP_080","1850.394mil","-649.606mil","1850.394mil","-649.606mil","1850.394mil","-685.039mil","T","90.00","100nF"
"C2","FP_0603_CAP_080","1929.134mil","-649.606mil","1929.134mil","-649.606mil","1929.134mil","-685.039mil","T","90.00","100nF"
"C3","CAP_8x11_allo","688.976mil","0mil","688.976mil","0mil","688.976mil","-68.898mil","T","0.00","1000uF"
"C4","CAP_8x11_allo","334.646mil","0mil","334.646mil","0mil","334.646mil","-68.898mil","T","0.00","1000uF"
"R1","FP_0603_RES","1850.394mil","-511.811mil","1850.394mil","-511.811mil","1850.394mil","-476.378mil","T","270.00","?"
"R2","FP_0603_RES","334.646mil","-236.22mil","334.646mil","-236.22mil","370.079mil","-236.22mil","T","180.00","?"
"R3","FP_0603_RES","1929.134mil","-511.811mil","1929.134mil","-511.811mil","1929.134mil","-476.378mil","T","270.00","?"
"R4","FP_0603_RES","531.496mil","-236.22mil","531.496mil","-236.22mil","566.929mil","-236.22mil","T","180.00","?"
"C5","FP_0603_CAP_080","2795.276mil","-590.551mil","2795.276mil","-590.551mil","2795.276mil","-625.984mil","T","90.00","100nF"
"C6","FP_0603_CAP_080","2421.26mil","-511.811mil","2421.26mil","-511.811mil","2421.26mil","-476.378mil","T","270.00","100nF"
"C7","FP_0603_CAP_080","2421.26mil","-374.016mil","2421.26mil","-374.016mil","2421.26mil","-338.583mil","T","270.00","100nF"
"C8","FP_0603_CAP_080","2421.26mil","-236.22mil","2421.26mil","-236.22mil","2421.26mil","-200.787mil","T","270.00","100nF"
"C9","FP_0603_CAP_080","2421.26mil","-98.425mil","2421.26mil","-98.425mil","2421.26mil","-62.992mil","T","270.00","100nF"
"C10","FP_0603_CAP_080","2421.26mil","39.37mil","2421.26mil","39.37mil","2421.26mil","74.803mil","T","270.00","100nF"
"C11","FP_0603_CAP_080","2696.85mil","-590.551mil","2696.85mil","-590.551mil","2696.85mil","-555.118mil","T","270.00","100nF"
"C12","FP_0603_CAP_080","2696.85mil","-452.756mil","2696.85mil","-452.756mil","2696.85mil","-417.323mil","T","270.00","100nF"
"C13","FP_0603_CAP_080","2696.85mil","-314.961mil","2696.85mil","-314.961mil","2696.85mil","-279.527mil","T","270.00","100nF"
"C14","FP_0603_CAP_080","2696.85mil","-177.165mil","2696.85mil","-177.165mil","2696.85mil","-141.732mil","T","270.00","100nF"
"C15","FP_0603_CAP_080","2696.85mil","-39.37mil","2696.85mil","-39.37mil","2696.85mil","-3.937mil","T","270.00","100nF"
"C16","FP_0603_CAP_080","2696.85mil","98.425mil","2696.85mil","98.425mil","2696.85mil","133.858mil","T","270.00","100nF"
"D4","FP_SMA_DO214AC","2161.417mil","-118.11mil","2244.095mil","-118.11mil","2244.095mil","-118.11mil","T","180.00","DIODE_big"
"DN1","DIODE_SOT23_serial","2559.055mil","-590.551mil","2559.055mil","-590.551mil","2611.299mil","-627.953mil","T","360.00","BAR43S"
"DN2","DIODE_SOT23_serial","2559.055mil","-452.756mil","2559.055mil","-452.756mil","2611.299mil","-490.157mil","T","360.00","BAR43S"
"DN3","DIODE_SOT23_serial","2559.055mil","-314.961mil","2559.055mil","-314.961mil","2611.299mil","-352.362mil","T","360.00","BAR43S"
"DN4","DIODE_SOT23_serial","2559.055mil","-177.165mil","2559.055mil","-177.165mil","2611.299mil","-214.567mil","T","360.00","BAR43S"
"DN5","DIODE_SOT23_serial","2559.055mil","-39.37mil","2559.055mil","-39.37mil","2611.299mil","-76.772mil","T","360.00","BAR43S"
"DN6","DIODE_SOT23_serial","2559.055mil","98.425mil","2559.055mil","98.425mil","2611.299mil","61.024mil","T","360.00","BAR43S"
"R6","FP_0603_RES","2263.78mil","39.37mil","2263.78mil","39.37mil","2263.78mil","3.937mil","T","90.00","?"
"T4","FET_SOT23","2145.669mil","39.37mil","2145.669mil","39.37mil","2093.425mil","39.37mil","T","0.00","SI2306"
"R5","FP_0603_RES","2460.63mil","-925.197mil","2460.63mil","-925.197mil","2460.63mil","-889.764mil","T","270.00","?"
"R7","FP_0603_RES","1870.079mil","-905.512mil","1870.079mil","-905.512mil","1870.079mil","-940.945mil","T","90.00","?"

