"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P1","HEADER_10_BOX","1794.488mil","1821.653mil","1594.488mil","1771.653mil","1594.488mil","1771.653mil","T","360.00","Header 5X2"
"R23","FP_0603_RES","3245mil","2245mil","3245mil","2245mil","3209.567mil","2245mil","T","0.00","1k"
"R24","FP_0603_RES","3245mil","2315mil","3245mil","2315mil","3209.567mil","2315mil","T","0.00","1k"
"R22","FP_0603_RES","3245mil","2385mil","3245mil","2385mil","3209.567mil","2385mil","T","0.00","1k"
"R21","FP_0603_RES","3245mil","2455mil","3245mil","2455mil","3209.567mil","2455mil","T","0.00","1k"
"R26","FP_0603_RES","2695mil","2750mil","2695mil","2750mil","2695mil","2714.567mil","T","90.00","1k"
"R31","FP_0603_RES","2625mil","2750mil","2625mil","2750mil","2625mil","2714.567mil","T","90.00","1k"
"R29","FP_0603_RES","2250mil","2880mil","2250mil","2880mil","2214.567mil","2880mil","T","360.00","1k"
"R27","FP_0603_RES","2720mil","4315mil","2720mil","4315mil","2684.567mil","4315mil","T","360.00","1k"
"R8","FP_0603_RES","2900mil","4300mil","2900mil","4300mil","2864.567mil","4300mil","T","0.00","1k"
"C15","FP_0603_CAP_080","2650mil","3040mil","2650mil","3040mil","2650mil","3004.567mil","T","90.00","100nF"
"C12","FP_0603_CAP_080","2650mil","3180mil","2650mil","3180mil","2650mil","3144.567mil","T","90.00","100nF"
"C6","FP_0603_CAP_080","2820mil","3440mil","2820mil","3440mil","2855.433mil","3440mil","T","180.00","100nF"
"C5","FP_0603_CAP_080","2650mil","3320mil","2650mil","3320mil","2650mil","3355.433mil","T","270.00","100nF"
"C21_e","CAP_ALU_ELKO_10D_10,5H","275.591mil","2716.535mil","275.591mil","2716.535mil","114.173mil","2716.535mil","T","360.00","220uF 50V"
"P7","Sorkapocs_3P_5mm","3360.354mil","2795.276mil","3360.354mil","2795.276mil","3360.354mil","2992.126mil","T","270.00","Header 3"
"P4","3.96mm_2P__90°_NCW396-02R","2356.417mil","4409.449mil","2356.417mil","4409.449mil","2434.37mil","4409.449mil","T","360.00","Motor"
"P6","Sorkapocs_8P_5mm","3360.354mil","3976.378mil","3360.354mil","3976.378mil","3360.354mil","4665.354mil","T","270.00","Header 8"
"U10","DIGITAL_SOIC16","2856.535mil","3184.331mil","2856.535mil","3184.331mil","2762.047mil","3359.331mil","T","90.00","MAX3232CSE"
"C7","FP_0603_CAP_080","2950mil","3440mil","2950mil","3440mil","2914.567mil","3440mil","T","360.00","100nF"
"U9","GATE_SOT23-5","2725mil","4455.532mil","2725mil","4455mil","2762.402mil","4507.244mil","T","270.00","SN74AHC1G08"
"U5","GATE_SOT23-5","2900.032mil","4454.481mil","2900.032mil","4453.95mil","2937.433mil","4506.194mil","T","270.00","SN74AHC1G08"
"R30","FP_0603_RES","2725mil","4725mil","2725mil","4725mil","2760.433mil","4725mil","T","180.00","1k"
"R19","FP_0603_RES","2901mil","4580mil","2901mil","4580mil","2936.433mil","4580mil","T","180.00","47k"
"R18","FP_0603_RES","2902mil","4655mil","2902mil","4655mil","2937.433mil","4655mil","T","180.00","1k"
"R17","FP_0603_RES","2950mil","4130mil","2950mil","4130mil","2985.433mil","4130mil","T","180.00","47k"
"R16","FP_0603_RES","2950mil","4060mil","2950mil","4060mil","2985.433mil","4060mil","T","180.00","47k"
"R15","FP_0603_RES","2725mil","4581mil","2725mil","4581mil","2760.433mil","4581mil","T","180.00","47k"
"R14","FP_0603_RES","2726mil","4654mil","2726mil","4654mil","2761.433mil","4654mil","T","180.00","1k"
"R13","FP_0603_RES","2950mil","3920mil","2950mil","3920mil","2985.433mil","3920mil","T","180.00","47k"
"R12","FP_0603_RES","2950mil","3710mil","2950mil","3710mil","2985.433mil","3710mil","T","180.00","47k"
"R11","FP_0603_RES","2900mil","4725mil","2900mil","4725mil","2864.567mil","4725mil","T","360.00","1k"
"P5","jst-s4b-xh-a","2868.228mil","4881.89mil","2868.228mil","4881.89mil","2986.338mil","4881.89mil","T","360.00","Header 4"
"C16","FP_0603_CAP_080","2950mil","3780mil","2950mil","3780mil","2914.567mil","3780mil","T","360.00","100nF"
"C3","FP_0603_CAP_080","2950mil","4200mil","2950mil","4200mil","2914.567mil","4200mil","T","360.00","100nF"
"C2","FP_0603_CAP_080","2950mil","3990mil","2950mil","3990mil","2914.567mil","3990mil","T","360.00","100nF"
"C1","FP_0603_CAP_080","2950mil","3850mil","2950mil","3850mil","2914.567mil","3850mil","T","360.00","100nF"
"T6","FET_SOT23","2630mil","3590mil","2630mil","3590mil","2682.244mil","3627.402mil","T","0.00","PMBF170"
"T5","FET_SOT23","2632.036mil","3723.032mil","2632.036mil","3723.032mil","2684.28mil","3760.434mil","T","0.00","PMBF170"
"R96","FP_0603_RES","2240mil","3470mil","2240mil","3470mil","2204.567mil","3470mil","T","360.00","330"
"R10","FP_0603_RES","2380mil","2880mil","2380mil","2880mil","2415.433mil","2880mil","T","180.00","1k"
"R28","FP_0603_RES","2240mil","2150mil","2240mil","2150mil","2240mil","2185.433mil","T","270.00","47k"
"R6","FP_0603_RES","2250mil","2960mil","2250mil","2960mil","2285.433mil","2960mil","T","180.00","47k"
"R4","FP_0603_RES","2750mil","3590mil","2750mil","3590mil","2750mil","3554.567mil","T","90.00","47k"
"R3","FP_0603_RES","2310mil","2147mil","2310mil","2147mil","2310mil","2111.567mil","T","90.00","47k"
"R2","FP_0603_RES","2440mil","3470mil","2440mil","3470mil","2404.567mil","3470mil","T","360.00","330"
"P3","Sorkapocs_2P_5mm","2356.417mil","4960.63mil","2356.417mil","4960.63mil","2257.992mil","4960.63mil","T","0.00","Motor"
