"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SW1","SW_TACT_2PIN","231.26mil","14395.591mil","231.26mil","14395.591mil","231.26mil","14267.638mil","T","90.00","SW_tactile_2pin"
"U2","ANALOG_SOT23-5","650.098mil","14208.582mil","649.567mil","14208.583mil","701.811mil","14171.181mil","T","180.00","MCP6001"
"U1","ANALOG_SOT23-5","643.532mil","14243.591mil","643mil","14243.591mil","695.244mil","14280.992mil","B","180.00","MCP6001"
"T4","FET_SOT23","1062.953mil","14560.961mil","1062.953mil","14560.961mil","1062.953mil","14508.717mil","T","90.00","NMOS"
"T3","FET_SOT23","1100mil","14249.591mil","1100mil","14249.591mil","1100mil","14301.835mil","B","270.00","NMOS"
"T2","FET_SOT23","228.401mil","14393.654mil","228.402mil","14393.654mil","228.402mil","14445.898mil","B","270.00","NMOS"
"T1","FET_SOT23","1441mil","14572.591mil","1441mil","14572.591mil","1493.244mil","14572.591mil","T","180.00","PMOS"
"R19","FP_0603_RES","402.401mil","14225mil","402.402mil","14225mil","437.835mil","14225mil","B","180.00","1K"
"R18","FP_0603_RES","702.402mil","14555mil","702.402mil","14555mil","702.402mil","14590.433mil","T","270.00","1K"
"R17","FP_0603_RES","562.402mil","14555mil","562.402mil","14555mil","562.402mil","14590.433mil","T","270.00","1K"
"R16","FP_0603_RES","832mil","14260.591mil","832mil","14260.591mil","796.567mil","14260.591mil","T","360.00","1K"
"R15","FP_0603_RES","383.819mil","14561.929mil","383.819mil","14561.929mil","348.386mil","14561.929mil","B","360.00","1K"
"R14","FP_0603_RES","511.772mil","14223.346mil","511.772mil","14223.346mil","511.772mil","14258.78mil","B","270.00","1K"
"R13","FP_0603_RES","1194.842mil","14209.567mil","1194.842mil","14209.567mil","1194.842mil","14174.134mil","T","90.00","1K"
"R12","FP_0603_RES","533.425mil","14352.283mil","533.425mil","14352.283mil","568.858mil","14352.283mil","B","180.00","1K"
"R11","FP_0603_RES","842mil","14256.591mil","842mil","14256.591mil","806.567mil","14256.591mil","B","360.00","1K"
"R10","FP_0603_RES","975.355mil","14255.827mil","975.354mil","14255.827mil","939.921mil","14255.827mil","B","0.00","1K"
"R9","FP_0603_RES","1071.402mil","14545mil","1071.402mil","14545mil","1071.402mil","14580.433mil","B","270.00","1K"
"R8","FP_0603_RES","850mil","14509.591mil","850mil","14509.591mil","885.433mil","14509.591mil","T","180.00","1K"
"R7","FP_0603_RES","144.646mil","14238.11mil","144.646mil","14238.11mil","144.646mil","14202.677mil","B","90.00","1K"
"R6","FP_0603_RES","149.567mil","14495.984mil","149.567mil","14495.984mil","149.567mil","14531.417mil","B","270.00","1K"
"R5","FP_0603_RES","605.276mil","14559.961mil","605.276mil","14559.961mil","569.843mil","14559.961mil","B","360.00","1K"
"R4","FP_0603_RES","1595.433mil","14581.614mil","1595.433mil","14581.614mil","1560mil","14581.614mil","T","360.00","1K"
"R2","FP_0603_RES","1576.732mil","14184.961mil","1576.732mil","14184.961mil","1541.299mil","14184.961mil","T","0.00","1K"
"R1","FP_0603_RES","1525.551mil","14283.386mil","1525.551mil","14283.386mil","1525.551mil","14318.819mil","B","270.00","1K"
"Q1","TR_SOT23","929mil","14474.591mil","929mil","14474.591mil","929mil","14422.346mil","B","90.00","NPN BC847A"
"IC1","WSON_n_SOIC8","1387.756mil","14395.591mil","1387.756mil","14395.591mil","1462.756mil","14280.591mil","B","90.00","ATtiny13"
