"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"SW1","DIP_switch_4_TH","170.945mil","-595.04mil","170.945mil","-595.04mil","20.945mil","-445.04mil","T","360.00","DIPSW4"
"R11","FP_0805_RES","200.945mil","-745.04mil","200.945mil","-745.04mil","161.575mil","-745.04mil","B","0.00","10k"
"R9","FP_0805_RES","200.945mil","-645.04mil","200.945mil","-645.04mil","161.575mil","-645.04mil","B","0.00","10k"
"R8","FP_0805_RES","200.945mil","-545.04mil","200.945mil","-545.04mil","161.575mil","-545.04mil","B","0.00","10k"
"R7","FP_0805_RES","200.945mil","-445.04mil","200.945mil","-445.04mil","161.575mil","-445.04mil","B","0.00","10k"
"R5","FP_0805_RES","-59.055mil","-785.04mil","-59.055mil","-785.04mil","-59.055mil","-824.41mil","T","90.00","10k"
"U1","SOIC-SO20_N","30.945mil","-1185.04mil","30.945mil","-1185.04mil","-148.189mil","-960.04mil","T","0.00","PIC24F16KA101-I/SO"
"J2","PIN1","-269.055mil","-1565.04mil","-269.055mil","-1565.04mil","-269.055mil","-1565.04mil","T","0.00","ANT"
"U5","RFM12B-S1","30.945mil","-1185.04mil","30.945mil","-1185.04mil","345.906mil","-948.819mil","B","180.00","RFM12B"
"C1","FP_0805_CAP_060","330.945mil","-985.04mil","330.945mil","-985.04mil","330.945mil","-1024.41mil","T","90.00","100nF"
"C2","FP_0805_CAP_060","-309.055mil","-1135.04mil","-309.055mil","-1135.04mil","-309.055mil","-1095.67mil","T","270.00","100nF"
"C4","FP_0603_CAP_080","-239.055mil","-575.04mil","-239.055mil","-575.04mil","-239.055mil","-539.607mil","B","270.00","100nF"
"C5","FP_1206_CAP_085","-39.055mil","-245.04mil","-39.055mil","-245.04mil","-39.055mil","-311.969mil","T","90.00","10uF"
"C7","FP_0603_CAP_080","-149.055mil","-575.04mil","-149.055mil","-575.04mil","-149.055mil","-610.473mil","B","90.00","100nF"
"C8","FP_1206_CAP_085","-137.795mil","-708.661mil","-137.795mil","-708.661mil","-70.866mil","-708.661mil","B","180.00","10uF"
"R3","FP_0805_RES","-309.055mil","-1305.04mil","-309.055mil","-1305.04mil","-309.055mil","-1265.67mil","T","270.00","10K"
"R4","FP_0805_RES","-289.055mil","-1435.04mil","-289.055mil","-1435.04mil","-249.685mil","-1435.04mil","T","180.00","100R"
"R6","FP_0805_RES","-255.905mil","-885.827mil","-255.905mil","-885.827mil","-255.905mil","-925.197mil","T","90.00","270R"
"R12","FP_0805_RES","370.945mil","-1445.04mil","370.945mil","-1445.04mil","370.945mil","-1405.67mil","T","270.00","10k"
"U6","SUPPLY_SOT223","-189.055mil","-565.04mil","-189.055mil","-565.04mil","-98.504mil","-447.914mil","T","270.00","LD1117xx"
"D2","FP_0805_LED_RED","-334.646mil","-885.827mil","-334.646mil","-846.457mil","-334.646mil","-842.52mil","T","270.00","LED_RED"
"P1","HDR1X6","120.945mil","-1585.04mil","-129.055mil","-1585.04mil","-129.055mil","-1585.04mil","T","360.00","Header 6"
"D1","FP_SMA_DO214AC","-199.055mil","-247.717mil","-199.055mil","-165.04mil","-199.055mil","-165.04mil","T","270.00","DIODE_big"

