"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D1","FP_SMA_DO214AC","510.827mil","1394.685mil","593.504mil","1394.685mil","593.504mil","1394.685mil","B","180.00","DIODE_big"
"P1","HDR1X6","534.331mil","85.892mil","284.331mil","85.892mil","284.331mil","85.892mil","T","360.00","Header 6"
"D2","FP_0805_LED_RED","334.646mil","1417.323mil","295.276mil","1417.323mil","291.339mil","1417.323mil","T","360.00","LED_RED"
"U6","SUPPLY_SOT223","224.331mil","1105.892mil","224.331mil","1105.892mil","314.882mil","1223.018mil","T","270.00","LD1117xx"
"R12","FP_0805_RES","784.331mil","225.893mil","784.331mil","225.893mil","784.331mil","265.263mil","T","270.00","10k"
"R6","FP_0805_RES","204.724mil","1377.953mil","204.724mil","1377.953mil","204.724mil","1417.323mil","T","270.00","270R"
"R4","FP_0805_RES","124.331mil","235.893mil","124.331mil","235.893mil","163.701mil","235.893mil","T","180.00","100R"
"R3","FP_0805_RES","104.331mil","365.892mil","104.331mil","365.892mil","104.331mil","405.263mil","T","270.00","10K"
"C8","FP_1206_CAP_085","275.59mil","962.271mil","275.591mil","962.271mil","342.52mil","962.271mil","B","180.00","10uF"
"C7","FP_0603_CAP_080","264.331mil","1095.892mil","264.331mil","1095.892mil","264.331mil","1060.459mil","B","90.00","100nF"
"C5","FP_1206_CAP_085","232.283mil","1399.606mil","232.283mil","1399.606mil","299.212mil","1399.606mil","B","180.00","10uF"
"C4","FP_0603_CAP_080","174.331mil","1095.892mil","174.331mil","1095.892mil","174.331mil","1131.326mil","B","270.00","100nF"
"C2","FP_0805_CAP_060","104.331mil","535.893mil","104.331mil","535.893mil","104.331mil","575.263mil","T","270.00","100nF"
"C1","FP_0805_CAP_060","744.331mil","685.893mil","744.331mil","685.893mil","744.331mil","646.522mil","T","90.00","100nF"
"U5","RFM12B-S1","444.331mil","485.892mil","444.331mil","485.892mil","759.291mil","722.113mil","B","180.00","RFM12B"
"J2","PIN1","144.331mil","105.892mil","144.331mil","105.892mil","144.331mil","105.892mil","T","0.00","ANT"
"U1","SOIC-SO20_N","444.331mil","485.892mil","444.331mil","485.892mil","265.197mil","710.893mil","T","0.00","PIC24F16KA101-I/SO"
"R5","FP_0805_RES","354.331mil","885.893mil","354.331mil","885.893mil","354.331mil","846.522mil","T","90.00","10k"
"R7","FP_0805_RES","614.331mil","1225.892mil","614.331mil","1225.892mil","574.961mil","1225.892mil","B","0.00","10k"
"R8","FP_0805_RES","614.331mil","1125.892mil","614.331mil","1125.892mil","574.961mil","1125.892mil","B","0.00","10k"
"R9","FP_0805_RES","614.331mil","1025.892mil","614.331mil","1025.892mil","574.961mil","1025.892mil","B","0.00","10k"
"R11","FP_0805_RES","614.331mil","925.893mil","614.331mil","925.893mil","574.961mil","925.893mil","B","0.00","10k"
"SW1","DIP_switch_4_TH","584.331mil","1075.892mil","584.331mil","1075.892mil","434.331mil","1225.892mil","T","360.00","DIPSW4"
"P2","SORKAPOCS_5_P_RM3.81_-_no3d","452.756mil","1535.433mil","452.756mil","1535.433mil","177.165mil","1535.433mil","T","180.00","Header 5H"
"R1","FP_0805_RES","825.787mil","858.268mil","825.787mil","858.268mil","825.787mil","818.898mil","T","90.00","10k"
"R2","FP_0805_RES","805.118mil","1375.984mil","805.118mil","1375.984mil","805.118mil","1336.614mil","T","90.00","100R"
"D3","FP_0805_LED_GREEN","570.866mil","1417.323mil","610.236mil","1417.323mil","614.173mil","1417.323mil","T","180.00","LED_GREEN"
"R10","FP_0805_RES","700.787mil","1377.953mil","700.787mil","1377.953mil","700.787mil","1417.323mil","T","270.00","270R"

